0.170000,0.008406,-0.022971,-0.011387,0.017561,0.021937,0.017830,-0.021112,0.096543,-0.263313,-0.132772,0.201023,0.249093,0.204051,-0.241113
0.175000,0.008895,-0.024305,-0.012060,0.018580,0.023199,0.018864,-0.022334,0.099169,-0.270428,-0.136569,0.206429,0.255603,0.209534,-0.247545
0.180000,0.009398,-0.025675,-0.012753,0.019625,0.024493,0.019925,-0.023587,0.101783,-0.277507,-0.140360,0.211805,0.262067,0.214987,-0.253939
0.185000,0.009913,-0.027080,-0.013464,0.020698,0.025819,0.021014,-0.024873,0.104385,-0.284551,-0.144144,0.217153,0.268483,0.220410,-0.260295
0.190000,0.010441,-0.028520,-0.014194,0.021797,0.027178,0.022129,-0.026190,0.106974,-0.291558,-0.147923,0.222472,0.274853,0.225804,-0.266614
0.195000,0.010983,-0.029995,-0.014943,0.022922,0.028568,0.023272,-0.027539,0.109551,-0.298529,-0.151695,0.227762,0.281177,0.231169,-0.272895
0.200000,0.011537,-0.031505,-0.015711,0.024074,0.029989,0.024441,-0.028919,0.112116,-0.305464,-0.155461,0.233024,0.287454,0.236503,-0.279138
0.205000,0.012104,-0.033050,-0.016498,0.025252,0.031442,0.025636,-0.030330,0.114669,-0.312364,-0.159220,0.238256,0.293684,0.241808,-0.285344
0.210000,0.012684,-0.034629,-0.017303,0.026457,0.032926,0.026859,-0.031772,0.117210,-0.319227,-0.162974,0.243459,0.299867,0.247083,-0.291512
0.215000,0.013276,-0.036242,-0.018127,0.027687,0.034441,0.028107,-0.033245,0.119738,-0.326054,-0.166721,0.248633,0.306004,0.252329,-0.297642
0.220000,0.013881,-0.037890,-0.018970,0.028943,0.035986,0.029382,-0.034749,0.122254,-0.332846,-0.170462,0.253779,0.312094,0.257545,-0.303735
0.225000,0.014499,-0.039571,-0.019832,0.030225,0.037562,0.030683,-0.036283,0.124758,-0.339601,-0.174197,0.258895,0.318138,0.262732,-0.309790
0.230000,0.015129,-0.041286,-0.020712,0.031532,0.039167,0.032009,-0.037847,0.127250,-0.346321,-0.177926,0.263982,0.324135,0.267888,-0.315807
0.235000,0.015771,-0.043034,-0.021611,0.032865,0.040803,0.033362,-0.039441,0.129730,-0.353004,-0.181649,0.269041,0.330085,0.273016,-0.321786
0.240000,0.016426,-0.044815,-0.022529,0.034222,0.042468,0.034739,-0.041064,0.132197,-0.359652,-0.185365,0.274070,0.335988,0.278113,-0.327728
0.245000,0.017093,-0.046630,-0.023465,0.035605,0.044163,0.036143,-0.042718,0.134653,-0.366264,-0.189076,0.279071,0.341845,0.283181,-0.333632
0.250000,0.017772,-0.048478,-0.024420,0.037013,0.045886,0.037571,-0.044401,0.137096,-0.372839,-0.192780,0.284043,0.347656,0.288219,-0.339499
